corpus_id,Year,Source title,Open Access,screening_confidence,screening_reason_category,pdf_recovered
paper-0157,2026,Applied Sciences (Switzerland),All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0159,2026,Energy Reports,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0160,2026,Reliability Engineering and System Safety,All Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0161,2026,Entropy,All Open Access; Gold Open Access; Green Open Access,medium,physical_asset_maintenance,True
paper-0162,2026,Astronomy and Computing,All Open Access; Green Open Access; Hybrid Gold Open Access,medium,uncertain_but_included,True
paper-0163,2026,Batteries,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0164,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0165,2026,European Journal of Operational Research,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0166,2026,Chemical Engineering Journal Advances,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0167,2026,Electronics (Switzerland),All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0168,2026,IEEE Transactions on Transportation Electrification,All Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0171,2026,Array,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0172,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0173,2026,Applications in Energy and Combustion Science,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0174,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0175,2026,Results in Engineering,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0177,2026,Nature Environment and Pollution Technology,All Open Access; Gold Open Access,medium,physical_asset_maintenance,True
paper-0178,2026,Journal of Engineering and Technology for Industrial Applications,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0179,2026,Chinese Journal of Electrical Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0182,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0183,2026,Electronics (Switzerland),All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0184,2026,Solar Energy,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,True
paper-0185,2026,Forschung im Ingenieurwesen/Engineering Research,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,True
paper-0187,2026,Array,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0189,2026,Reliability Engineering and System Safety,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0190,2026,Signals,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0193,2026,Engineering Research Express,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0195,2026,Journal of Power Sources,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0197,2026,Engineering Research Express,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0198,2026,Scientific African,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0200,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0201,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0204,2026,Applied Sciences (Switzerland),All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0205,2026,Machines,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0206,2026,Ocean Engineering,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0207,2026,Energy and AI,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0208,2026,Energy Conversion and Management: X,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0209,2026,Marine Structures,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0210,2026,Sustainability (Switzerland),All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0212,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0213,2026,Processes,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0214,2026,IEEE Sensors Letters,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0215,2026,Sustainable Energy Technologies and Assessments,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0216,2026,Measurement (Netherlands),All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0217,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0218,2026,Batteries,All Open Access; Gold Open Access; Green Open Access,medium,physical_asset_maintenance,True
paper-0219,2026,Reliability Engineering and System Safety,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0221,2026,Processes,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0222,2026,Journal of Applied Fluid Mechanics,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0223,2026,Engineering Research Express,All Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0224,2026,Eng,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0226,2026,Sci,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0227,2026,Applied Sciences (Switzerland),All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0228,2026,"Journal of Dynamics, Monitoring and Diagnostics",All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0229,2026,Discover Computing,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0231,2026,"International Journal of Engineering, Transactions A: Basics",All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,True
paper-0232,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0233,2026,Energy Conversion and Management: X,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0235,2026,Journal of Manufacturing Systems,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0236,2026,Wear,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0237,2026,International Journal of GEOMATE,All Open Access; Gold Open Access,medium,physical_asset_maintenance,False
paper-0238,2026,Engineering Research Express,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0239,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0243,2026,Wind Energy Science,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0244,2026,Physica Scripta,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0245,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0246,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0247,2026,Journal of Big Data,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0250,2026,Batteries,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0251,2026,Engineering Research Express,All Open Access; Hybrid Gold Open Access,medium,physical_asset_maintenance,False
paper-0252,2026,Energy Conversion and Management: X,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0253,2026,Expert Systems with Applications,All Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0254,2026,Cell Reports Physical Science,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0255,2026,Journal of Artificial Intelligence and Technology,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0256,2026,Advanced Engineering Informatics,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0257,2026,Machines,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0258,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0259,2026,Expert Systems with Applications,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0261,2026,Computers in Industry,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0262,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0263,2026,Energies,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0264,2026,AIP Advances,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0265,2026,IEEE Sensors Journal,All Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0267,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0268,2026,International Journal of Electrical Power and Energy Systems,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0269,2026,Processes,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0270,2026,Tunnelling and Underground Space Technology,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0272,2026,Engineering Applications of Artificial Intelligence,All Open Access; Green Open Access,medium,physical_asset_maintenance,False
paper-0273,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0275,2026,Measurement Science and Technology,All Open Access; Hybrid Gold Open Access,medium,physical_asset_maintenance,False
paper-0277,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0278,2026,Engineering Research Express,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0280,2026,PLOS ONE,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0282,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0284,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0285,2026,Advanced Engineering Informatics,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0286,2026,Engineering Research Express,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0287,2026,Energies,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0289,2026,Applied Sciences (Switzerland),All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0290,2026,Engineering Research Express,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0293,2026,Mechanical Systems and Signal Processing,All Open Access; Hybrid Gold Open Access,medium,physical_asset_maintenance,False
paper-0297,2026,Measurement Science and Technology,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
