method,pool_size,top_k,lambda,keep_top1,weights,n_queries,mean_similarity,top1_similarity,ild_main_weights,unique_model_signatures,unique_model_types,unique_model_approaches,queries_with_duplicate_model_signature
MMR,15,10,1.0,True,main,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
CBR,20,3,1.0,True,n/a,1821,0.5591288669229362,0.5630340472267985,0.4069506496009775,2.8506315211422297,1.8550247116968699,1.4514003294892917,264
MMR,20,3,0.0,True,main,1821,0.52611477210324,0.5630340472267985,0.6422908772307663,3.0,2.734211971444261,1.9659527732015376,0
MMR,20,3,0.5,True,main,1821,0.5524012447373239,0.5630340472267985,0.6271524170987841,3.0,2.630422844590884,1.899505766062603,0
MMR,20,3,0.6,True,main,1821,0.5537433644517664,0.5630340472267985,0.6244332792116861,3.0,2.611751784733663,1.8929159802306426,0
MMR,20,3,0.7,True,main,1821,0.5543944719018854,0.5630340472267985,0.6226563622366035,3.0,2.603514552443712,1.8874244920373422,0
MMR,20,3,0.8,True,main,1821,0.555144060040271,0.5630340472267985,0.6196346642223647,3.0,2.5963756177924218,1.8780889621087316,0
MMR,20,3,0.9,True,main,1821,0.557022698151199,0.5630340472267985,0.6029297707973545,2.9923119165293794,2.500823723228995,1.8550247116968699,13
MMR,20,3,1.0,True,main,1821,0.5591288669229362,0.5630340472267985,0.4069506496009775,2.8506315211422297,1.8550247116968699,1.4514003294892917,264
CBR,20,5,1.0,True,n/a,1821,0.5563079626578803,0.5630340472267985,0.42155414972086974,4.633168588687535,2.4162548050521693,1.6073585941790225,610
MMR,20,5,0.0,True,main,1821,0.5186638110928061,0.5630340472267985,0.5800975541533392,5.0,3.512904997254256,1.9972542559033497,0
MMR,20,5,0.5,True,main,1821,0.5506834706205381,0.5630340472267985,0.5659500806208596,5.0,3.388248215266337,1.9379461834157057,0
MMR,20,5,0.6,True,main,1821,0.5521115870400879,0.5630340472267985,0.5630267679055545,5.0,3.358594179022515,1.9253157605711149,0
MMR,20,5,0.7,True,main,1821,0.5527435475013729,0.5630340472267985,0.5614489379388802,4.99945085118067,3.3223503569467328,1.9236683141131246,1
MMR,20,5,0.8,True,main,1821,0.5535863811092806,0.5630340472267985,0.5595328179782496,4.99176276771005,3.315760571114772,1.9231191652937947,14
MMR,20,5,0.9,True,main,1821,0.5545325645249863,0.5630340472267985,0.552226680344996,4.985722130697419,3.258649093904448,1.9192751235584844,25
MMR,20,5,1.0,True,main,1821,0.5563079626578803,0.5630340472267985,0.42155414972086974,4.633168588687535,2.4162548050521693,1.6073585941790225,610
CBR,20,10,1.0,True,n/a,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
MMR,20,10,0.0,True,main,1821,0.5172579901153213,0.5630340472267985,0.5193865268445076,9.99890170236134,4.059857221306975,1.99890170236134,2
MMR,20,10,0.5,True,main,1821,0.5389477759472817,0.5630340472267985,0.5129771786413772,9.99890170236134,3.987918725974739,1.9978034047226798,2
MMR,20,10,0.6,True,main,1821,0.5393169686985173,0.5630340472267985,0.5124755976153543,9.99780340472268,3.982427237781439,1.9967051070840198,4
MMR,20,10,0.7,True,main,1821,0.539699176276771,0.5630340472267985,0.5121513842618496,9.990664470071389,3.987369577155409,1.9956068094453596,16
MMR,20,10,0.8,True,main,1821,0.5400776496430533,0.5630340472267985,0.5104071247393089,9.98682042833608,3.973640856672158,1.9950576606260297,23
MMR,20,10,0.9,True,main,1821,0.5406719934102142,0.5630340472267985,0.5064467051449824,9.976935749588138,3.969247666117518,1.9956068094453596,35
MMR,20,10,1.0,True,main,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
CBR,30,3,1.0,True,n/a,1821,0.5591288669229362,0.5630340472267985,0.4069506496009775,2.8506315211422297,1.8550247116968699,1.4514003294892917,264
MMR,30,3,0.0,True,main,1821,0.505824089328208,0.5630340472267985,0.6647585209152114,3.0,2.758923668314113,1.9961559582646897,0
MMR,30,3,0.5,True,main,1821,0.5510587589236683,0.5630340472267985,0.6457397328977081,3.0,2.6814936847885775,1.928061504667765,0
